Year,State,EV_R,EV_D,Population,Total_VAP,Total_VAC,Total_REG,Total_Vote,Perc_VAP,Perc_VAC,Perc_REG,D_placed,R_placed,O_placed,Margin,Perc_Margin,Vote_Perc_D,Vote_Perc_R,Vote_Perc_T,Vote_Perc_O,Vote_D,Vote_R,Vote_T,Vote_O
1996,North Carolina,14,0,7500670,5519000,0,4318008,2515807,45.60,-,58.30,2,1,3,118089,4.69,44.04,48.73,6.68,0.55,1107849,1225938,168059,13961
1996,North Dakota,3,0,650382,476000,0,0,266411,56.00,-,-,2,1,3,18145,6.81,40.13,46.94,12.20,0.73,106905,125050,32515,1941
1996,Ohio,0,21,11242827,8347000,0,6837421,4534434,54.30,-,66.30,1,2,3,288339,6.36,47.38,41.02,10.66,0.95,2148222,1859883,483207,43122
1996,Oklahoma,8,0,3340129,2426000,0,1977677,1206713,49.70,-,61.00,2,1,3,94210,7.81,40.45,48.26,10.84,0.46,488105,582315,130788,5505
1996,Oregon,0,7,3247111,2411000,0,1962155,1377760,57.10,-,70.20,1,2,3,111489,8.09,47.15,39.06,8.80,4.99,649641,538152,121221,68746
1996,Pennsylvania,0,23,12220464,9197000,0,6805612,4506118,49.00,-,66.20,1,2,3,414650,9.20,49.17,39.97,9.56,1.29,2215819,1801169,430984,58146
1996,Rhode Island,0,4,1020893,751000,0,602692,390284,52.00,-,64.80,1,2,3,128367,32.89,59.71,26.82,11.20,2.26,233050,104683,43723,8828
1996,South Carolina,8,0,3796200,2771000,0,1814777,1149457,41.50,-,63.30,2,1,3,69407,6.04,43.85,49.89,5.60,0.66,504051,573458,64386,7562
1996,South Dakota,3,0,742213,535000,0,459971,323826,60.50,-,70.40,2,1,3,11210,3.46,43.03,46.49,9.65,0.83,139333,150543,31250,2700
1996,Tennessee,0,11,5416643,4035000,0,3055962,1894105,46.90,-,62.00,1,2,3,45616,2.41,48.00,45.59,5.59,0.82,909146,863530,105918,15511
1996,Texas,32,0,19340342,13597000,0,9551191,5611644,41.30,-,58.80,2,1,3,276484,4.93,43.83,48.76,6.75,0.66,2459683,2736167,378537,37257
1996,Utah,5,0,2067976,1333000,0,1050452,665629,49.90,-,63.40,2,1,3,140278,21.07,33.30,54.37,9.98,2.35,221633,361911,66461,15624
1996,Vermont,0,3,593701,445000,0,385328,258449,58.10,-,67.10,1,2,3,57542,22.26,53.35,31.09,12.00,3.55,137894,80352,31024,9179
1996,Virginia,13,0,6750884,5083000,0,3322135,2416642,47.50,-,72.70,2,1,3,47290,1.96,45.15,47.10,6.62,1.13,1091060,1138350,159861,27371
1996,Washington,0,11,5569753,4115000,0,3078208,2253837,54.80,-,73.20,1,2,3,282611,12.54,49.84,37.30,8.92,3.94,1123323,840712,201003,88799
1996,West Virginia,0,5,1822808,1417000,0,970745,636459,44.90,-,65.60,1,2,3,93866,14.75,51.51,36.76,11.26,0.48,327812,233946,71639,3062
1996,Wisconsin,0,11,5229986,3824000,0,0,2196169,57.40,-,-,1,2,3,226942,10.33,48.81,38.48,10.35,2.36,1071971,845029,227339,51830
1996,Wyoming,3,0,488167,356000,0,240711,211571,59.40,-,87.90,2,1,3,27454,12.98,36.84,49.81,12.25,1.10,77934,105388,25928,2321
1992,Alabama,9,0,4154014,3056000,0,2210617,1688060,55.20,-,76.40,2,1,3,114203,6.77,40.88,47.65,10.85,0.63,690080,804283,183109,10588
1992,Alaska,3,0,588736,395500,0,315058,258506,65.40,-,82.10,2,1,3,23706,9.17,30.29,39.46,28.43,1.83,78294,102000,73481,4731
1992,Arizona,8,0,3915740,2749000,0,1964949,1487006,54.10,-,75.70,2,1,3,29036,1.95,36.52,38.47,23.79,1.22,543050,572086,353741,18129
1992,Arkansas,0,6,2415984,1768000,0,1317944,950653,53.80,-,72.10,1,2,3,168499,17.72,53.21,35.48,10.43,0.88,505823,337324,99132,8374
