year,state,total_revenue,instruction_expense,property_expense,total_edu_expense,per_pupil_expense
2006,Wyoming,1368081151.203125,680746561.6718155,65448879.10806052,1353783475.8664238,14071.83898809524
2006,American Samoa,102481179.42341271,36371802.479965284,1140418.9755357143,77508390.35735616,3871.541488095238
2006,Guam,247279953.7882986,142873106.29644346,3920885.784404762,254070357.7883532,7512.123859126984
2006,Northern Mariana Islands,79650793.31847718,55662104.3830754,343333.8231349207,70609387.95184524,5370.39472718254
2006,Puerto Rico,3473001115.530541,2575675464.5338097,106999896.92978175,3836573299.1718554,6063.2720783730165
2006,Virgin Islands,230114730.53150794,112806009.1269246,1303823.7413690477,192117802.0819891,10058.62670138889
2007,Alabama,8218740912.987165,4231618039.0751996,181458592.15351447,8186610284.05763,9321.682876600013
2007,Alaska,2195681784.6043105,1077749853.455653,85139628.17352971,2200180848.022142,15024.89056727532
2007,Arizona,11157016100.009018,5499543515.264215,468147592.6165031,10779253658.235073,8686.19251285316
2007,Arkansas,5162544792.709644,2738505318.553091,333007443.7183735,5252312323.31639,9896.981074746072
2007,California,80515421622.624,39890694916.728584,1732456588.063851,79240009135.81392,9952.54307376219
2007,Colorado,8933893886.642242,4404653076.812585,331763644.3838151,8938648990.169415,9795.117409883187
2007,Connecticut,10476375528.022676,5711648462.365883,295841331.5241292,10562438424.146149,15895.361885194508
2007,Delaware,1888443627.9313693,997369184.5805191,28952051.980322365,1974215198.6035004,14051.398042847084
2007,District of Columbia,1484335671.4079056,678407286.3744296,78831742.72018693,1608977510.2366042,19513.83707111921
2007,Florida,32690859529.616455,15796163363.895973,1457466773.0455287,34006406925.454983,9758.076077205775
2007,Georgia,20505624303.969116,10831269472.856155,573012026.7714163,19836882720.69099,10460.703856430438
2007,Hawaii,2827167107.502334,1401639452.7511501,24016794.45904833,2547263778.2250195,13751.594756489278
2007,Idaho,2360618768.63647,1263009156.0490735,107916770.76973791,2429212993.1050243,7780.9949455488995
2007,Illinois,27811726563.338245,13855830844.627483,853363405.6937138,26115961080.9938,11890.267789449315
2007,Indiana,11648071155.89042,6592748451.53715,399712623.88517034,12063722566.835642,10681.794310848742
2007,Iowa,5798723511.747225,2947650636.550376,162902768.95993093,5685114395.657619,9692.096203374134
2007,Kansas,6087775404.287621,3047080901.159099,238942150.81623113,5466848588.254796,11318.442216241765
2007,Kentucky,7108746376.866037,3731776685.32184,233402175.01833203,7241485637.382223,10156.270403487957
2007,Louisiana,8267801511.052618,4059063626.519803,201366843.0198995,7786104442.0264635,10486.169772646159
2007,Maine,2936947215.888952,1709645045.6450021,49586194.89793674,2750838717.593068,13942.589128107184
2007,Maryland,13455985299.077541,7250133206.20297,230004189.52271125,13236580808.697052,14128.953333140416
2007,Massachusetts,16413162115.59944,9213218615.255095,111847549.53425741,15108939785.430452,14869.77998668866
2007,Michigan,22670390153.7513,11175994428.218536,622837846.6806098,22131944898.37974,12068.52920295936
2007,Minnesota,11245787072.916494,6024151905.573921,317622093.5249395,11002156567.054575,11165.646718947439
2007,Mississippi,4812672078.330584,2512656249.7838016,180063627.1402996,4642949150.3891735,8409.540059418738
2007,Missouri,10818055558.509396,5568860801.594674,323481803.1612601,10486280827.191692,10011.577697716815
2007,Montana,1706599859.1649256,925421490.1954308,40505574.69931803,1660034463.6596637,10938.768556298288
2007,Nebraska,3615383748.7106133,2079988709.2477741,157013788.5680036,3676748463.4850197,11554.580712060266
2007,Nevada,4639468330.055811,2324163730.8028426,144723254.45272544,4710652454.409087,9090.174547366187
