,year,state,ev_r,ev_d,population,total_vap,total_reg,total_vote,perc_vap,perc_reg,d_placed,r_placed,perc_margin,vote_perc_d,vote_perc_r,vote_perc_t,vote_perc_o,electoral,governor,con_house_d,con_house_r,con_sen_d,con_sen_r,leg_house_d,leg_house_r,leg_sen_d,leg_sen_r
45,2016,washington,0,8,7288000.0,3495940.090909091,4270270.0,3316996,59.50909090909091,77.7,1,2,15.71,52.54,36.83,4.85,5.78,D,D,6,4,2,0,50,48,23,26
46,2016,west virginia,5,0,1831102.0,1345597.1818181819,1274887.0,721233,53.45454545454547,56.6,2,1,41.68,26.18,67.85,3.19,2.78,R,D,0,0,1,1,0,0,0,0
47,2016,wisconsin,10,0,5778708.0,3537026.272727273,3711904.0,2976150,65.71818181818182,80.2,2,1,0.76,46.45,47.22,3.58,2.74,R,R,3,5,1,1,36,63,14,19
48,2016,wyoming,3,0,585501.0,321880.45454545453,278042.0,255849,59.68181818181818,92.0,2,1,46.3,21.88,68.17,5.19,4.76,R,R,0,1,0,2,9,51,4,26
49,2012,alabama,9,0,4822023.0,2911044.3636363638,3162135.0,2074338,50.4909090909091,65.6,2,1,22.19,38.36,60.55,0.0,1.1,R,R,1,6,0,2,39,66,12,22
50,2012,alaska,3,0,731449.0,349465.0,506434.0,300495,57.790909090909096,59.3,2,1,13.99,40.81,54.8,0.0,4.39,R,R,0,1,1,1,16,24,10,10
51,2012,arizona,11,0,6553255.0,2650448.272727273,3725362.0,2306559,47.13636363636363,61.9,2,1,9.04,44.45,53.48,0.0,2.07,R,R,3,5,0,2,20,40,9,21
52,2012,arkansas,6,0,2949131.0,1716394.7272727273,1618328.0,1069468,50.25454545454545,66.1,2,1,23.69,36.88,60.57,0.0,2.55,Mitt Romney and Paul Ryan N,D,1,3,0,1,54,46,20,15
53,2012,california,0,55,38041430.0,20203289.545454547,18245970.0,13055815,50.26363636363636,71.6,1,2,23.09,60.16,37.07,0.0,2.77,D,D,34,19,2,0,52,27,25,15
54,2012,california,0,55,38041430.0,20203289.545454547,18245970.0,13055815,50.26363636363636,71.6,1,2,23.09,60.16,37.07,0.0,2.77,E,D,34,19,2,0,52,28,25,15
55,2012,colorado,0,9,5187582.0,2483406.4545454546,3644344.0,2571846,58.781818181818174,70.6,1,2,5.36,51.45,46.09,0.0,2.47,D,D,3,4,2,0,32,33,20,15
56,2012,connecticut,0,7,3590347.0,2381271.909090909,2218663.0,1558993,61.49090909090909,70.3,1,2,17.33,58.06,40.72,0.0,1.22,D,D,5,0,2,0,99,52,22,14
57,2012,delaware,0,3,917092.0,492330.7272727273,632417.0,413921,57.57272727272727,65.5,1,2,18.63,58.61,39.98,0.0,1.41,D,D,1,0,2,0,26,15,14,7
58,2012,d.c.,0,3,632323.0,481157.0,483600.0,293764,41.74545454545454,60.7,1,2,83.63,90.91,7.28,0.0,1.81,D,D,1,0,2,0,0,0,0,0
59,2012,florida,0,29,19317568.0,9349346.0,11934446.0,8492175,50.63636363636363,71.2,1,2,0.88,49.9,49.03,0.0,1.07,D,R,6,19,1,1,39,81,12,28
60,2012,georgia,16,0,9919945.0,4732607.181818182,5428980.0,3908369,44.127272727272725,72.0,2,1,7.8,45.39,53.19,0.0,1.43,R,R,5,8,0,2,63,116,21,35
61,2012,hawaii,0,4,1392313.0,774733.1818181818,705668.0,434697,44.93636363636363,61.6,1,2,42.71,70.55,27.84,0.0,1.62,D,D,2,0,0,0,43,8,24,1
62,2012,idaho,4,0,1595728.0,736347.4545454546,895834.0,656742,61.781818181818174,73.3,2,1,31.69,32.4,64.09,0.0,3.51,R,R,0,2,0,2,13,57,7,28
63,2012,illinois,0,20,12875255.0,8441005.818181818,7520722.0,5251432,57.55454545454545,69.8,1,2,16.84,57.5,40.66,0.0,1.84,D,D,8,11,1,1,64,54,35,24
64,2012,indiana,11,0,6537334.0,4047533.1818181816,4555257.0,2633143,56.61818181818182,57.8,2,1,10.2,43.84,54.04,0.0,2.13,R,R,3,6,0,2,40,60,13,37
65,2012,iowa,0,6,3074186.0,2073180.9090909092,2197914.0,1582180,63.6090909090909,72.0,1,2,5.81,51.99,46.18,0.0,1.83,D,R,3,2,1,1,40,60,26,24
66,2012,kansas,6,0,2885905.0,1785927.0909090908,1771252.0,1157532,58.54545454545453,65.4,2,1,21.59,38.0,59.59,0.0,2.4,R,R,0,4,0,2,33,92,8,32
67,2012,kentucky,8,0,4380415.0,2710629.8181818184,3037153.0,1798048,51.17272727272727,59.2,2,1,22.68,37.78,60.47,0.0,1.75,R,D,2,4,0,2,59,41,15,22
68,2012,louisiana,8,0,4601893.0,2917320.272727273,2965751.0,1994065,54.36363636363637,67.2,2,1,17.21,40.58,57.78,0.0,1.64,R,R,1,6,1,1,45,58,15,24
69,2012,maine,0,4,1329192.0,863904.0909090909,1025444.0,713180,66.3,69.5,1,2,15.29,56.27,40.98,0.0,2.75,D,R,2,0,0,0,72,78,14,20
70,2012,maryland,0,10,5884563.0,3415824.272727273,3694527.0,2707327,52.309090909090905,73.3,1,2,26.08,61.97,35.9,0.0,2.13,D,D,6,2,1,0,98,43,35,12
71,2012,massachusetts,0,11,6646144.0,4438830.0,4342841.0,3167767,59.790909090909096,72.9,1,2,23.15,60.67,37.52,0.0,1.82,E,D,10,0,1,1,127,33,36,4
72,2012,michigan,0,16,9883360.0,6669804.454545454,7454553.0,4745316,60.054545454545455,63.7,1,2,9.47,54.04,44.58,0.0,1.38,D,R,6,9,2,0,46,64,12,26
73,2012,minnesota,0,10,5379139.0,3145540.090909091,3611892.0,2936561,70.02727272727272,81.3,1,2,7.69,52.65,44.96,0.0,2.39,D,Mark Dayton (DFL),4,4,2,0,62,72,30,37
74,2012,mississippi,6,0,2984926.0,1801204.9090909092,2066851.0,1285584,51.027272727272724,62.2,2,1,11.5,43.79,55.29,0.0,0.92,R,R,1,3,0,2,58,64,21,31
75,2012,missouri,10,0,6021988.0,3756100.8181818184,4007174.0,2763689,59.25454545454545,69.0,2,1,9.36,44.28,53.64,0.0,2.08,R,D,3,6,1,1,55,103,8,26
76,2012,montana,3,0,1005141.0,588750.0909090909,681608.0,484484,65.11818181818181,71.1,2,1,13.64,41.66,55.3,0.0,3.04,R,D,0,1,2,0,32,68,22,28
77,2012,nebraska,5,0,1855525.0,1154604.3636363635,1163871.0,794379,58.01818181818181,68.3,2,1,21.78,38.03,59.8,0.0,2.17,R,R,0,3,1,1,0,0,0,0
78,2012,nevada,0,6,2758931.0,954593.2727272727,1500818.0,1014918,45.86363636363637,67.6,1,2,6.68,52.36,45.68,0.0,1.97,D,R,1,2,1,1,26,16,11,10
79,2012,new hampshire,0,4,1320718.0,765444.0909090909,905957.0,710972,61.47272727272727,78.5,1,2,5.58,51.98,46.4,0.0,1.62,D,D,0,4,1,1,102,298,5,19
80,2012,new jersey,0,14,8864590.0,5722352.363636363,5497322.0,3651140,56.372727272727275,66.4,1,2,17.74,58.25,40.5,0.0,1.25,D,R,7,6,2,0,0,0,24,16
81,2012,new mexico,0,5,2085538.0,1043588.9090909091,1254567.0,783757,52.27272727272727,62.5,1,2,10.15,52.99,42.84,0.0,4.16,D,R,2,1,2,0,36,33,19,0
82,2012,new york,0,29,19570261.0,13415478.727272727,11969192.0,7081536,51.03636363636363,59.2,1,2,28.18,63.35,35.17,0.0,1.49,D,D,21,8,2,0,98,51,30,32
83,2012,north carolina,15,0,9752073.0,4922272.363636363,6649188.0,4505372,48.73636363636364,67.8,2,1,2.04,48.35,50.39,0.0,1.26,D,E,7,6,1,1,52,68,19,31
84,2012,north dakota,3,0,699628.0,457845.54545454547,6510583.846153846,322627,64.30000000000001,75.29999999999998,2,1,19.63,38.69,58.32,0.0,2.99,R,R,0,1,1,1,25,69,12,35
